Region,Bathing water sampling data coastal 2014,National Grid reference,No. of samples e coli,Median,,Min,,Max,No. failing to conform,,No.of samples Intestinal enterocci (G only),Median,,,,,
,Hope Cove,SX6753239726,20,10,<,10,,36,0,,20,10,<,,,,
,Thurlestone South,SX6765041700,20,10,<,10,,64,0,,20,10,<,,,,
,Thurlestone North,SX6740042100,20,10,<,10,,45,0,,20,10,<,,,,
,Bantham,SX6623043800,20,10,<,10,,310,0,,20,10,<,,,,
,Bigbury-on-Sea South,SX6508044130,20,10,<,10,,109,0,,20,10,<,,,,
,Bigbury-on-Sea North,SX6495044300,20,10,<,10,,290,0,,20,10,<,,,,
,Challaborough,SX6492044800,20,10,<,10,,1009,0,,20,10,<,,,,
,Mothecombe,SX6105047340,20,14,<,10,,480,0,,20,10,<,,,,
,Wembury,SX5165048530,20,10,<,10,,800,0,,20,10,<,,,,
,Bovisand,SX4926050550,20,10,<,10,,182,0,,20,10,<,,,,
,Plymouth Hoe East,SX4783053750,20,10,<,10,,100,0,,20,10,<,,,,
,Plymouth Hoe West,SX4750053770,20,10,<,10,,330,0,,20,10,<,,,,
,Kingsand,SX4357050500,20,10,<,10,,670,0,,20,10,<,,,,
,Cawsand,SX4342050200,20,10,<,10,,191,0,,20,10,<,,,,
,Whitsand Bay (Sharrow),SX3933052185,20,10,<,10,,18,0,,20,10,<,,,,
,Portwrinkle,SX3596053830,20,10,<,10,,1300,0,,20,10,<,,,,
,Downderry,SX3147053920,20,10,<,10,,55,0,,20,10,<,,,,
,Seaton (Cornwall),SX3037054330,20,10,<,10,,1100,0,,20,10,<,,,,
,Millendreath,SX2681054080,20,10,<,10,,191,0,,20,10,<,,,,
,East Looe,SX2570053170,20,27,<,10,,845,0,,20,32,<,,,,
,Readymoney,SX1183051080,20,10,<,10,,155,0,,20,18,<,,,,
,Polkerris,SX0928052100,20,10,<,10,,91,0,,20,10,<,,,,
,Par,SX0851053140,20,10,<,10,,145,0,,20,10,<,,,,
,Shorthorn,SX0633052180,20,10,<,10,,73,0,,20,10,<,,,,
,Crinnis,SX0555052040,20,10,<,10,,64,0,,20,10,<,,,,
,Charlestown,SX0400051550,20,10,<,10,,36,0,,20,10,<,,,,
,Duporth,SX0352051150,20,10,<,10,,45,0,,20,10,<,,,,
,Porthpean,SX0323050730,20,10,<,10,,36,0,,20,10,<,,,,
,Pentewan,SX0188046770,20,10,<,10,,91,0,,20,10,<,,,,
,Polstreath,SX0171045310,20,10,<,10,,45,0,,20,10,<,,,,
,Portmellon,SX0156043920,20,10,<,10,,2700,1,,20,10,<,,,,
,Gorran Haven Little Perhaver,SX0133041590,20,10,<,10,,73,0,,20,10,<,,,,
,Gorran Haven (Vault),SX0130040930,20,10,<,10,,10,0,,20,10,<,,,,
,Porthluney,SW9734041290,20,14,<,10,,580,0,,20,14,<,,,,
,Pendower,SW8975038120,20,10,<,10,,690,0,,20,10,<,,,,
,Porthcurnick,SW8790036020,20,10,<,10,,260,0,,20,10,<,,,,
,Gyllyngvase,SW8094031680,20,10,<,10,,10,0,,20,10,<,,,,
,Swanpool,SW8032031260,20,10,<,10,,440,0,,20,10,<,,,,
,Maenporth,SW7898029570,20,14,<,10,,210,0,,20,10,<,,,,
,Porthallow,SW7974023260,20,10,<,10,,36,0,,20,10,<,,,,
,Porthoustock,SW8076021770,20,10,<,10,,10,0,,20,10,<,,,,
,Coverack,SW7826018400,20,10,<,10,,27,0,,20,10,<,,,,
,Kennack Sands,SW7341016460,20,10,<,10,,10,0,,20,10,<,,,,
,Polurrian Cove,SW6686018770,20,10,<,10,,10,0,,20,10,<,,,,
,Poldhu Cove,SW6655019920,20,10,<,10,,360,0,,20,10,<,,,,
,Church Cove,SW6610020500,20,10,<,10,,230,0,,20,10,<,,,,
,Porthleven West,SW6295025370,20,10,<,10,,210,0,,20,10,<,,,,
,Praa Sands East,SW5847027600,20,10,<,10,,10,0,,20,10,<,,,,
,Praa Sands West,SW5762028080,20,10,<,10,,27,0,,20,10,<,,,,
,Perranuthnoe,SW5398029250,20,10,<,10,,55,0,,20,10,<,,,,
,Mounts Bay Marazion,SW5134030930,20,10,<,10,,1418,0,,20,10,<,,,,
,Mounts Bay Heliport,SW4865031070,20,10,<,10,,136,0,,20,10,<,,,,
,Mounts Bay Penzance,SW4734029830,20,10,<,10,,145,0,,20,10,<,,,,
,Mounts Bay Wherry Town,SW4657829298,20,10,<,10,,210,0,,20,10,<,,,,
,Porthcurno,SW3874022250,20,10,<,10,,18,0,,20,10,<,,,,
,Sennen,SW3556026400,20,10,<,10,,82,0,,20,10,<,,,,
,Porthmeor,SW5159040840,20,10,<,10,,173,0,,20,10,<,,,,
,Porthgwidden,SW5208041030,20,10,<,10,,2400,1,,20,10,<,,,,
,Porthminster,SW5206040080,20,10,<,10,,82,0,,20,10,<,,,,
,Carbis Bay Station Beach,SW5282038940,20,10,<,10,,73,0,,20,10,<,,,,
,Carbis Bay Porth Kidney Sands,SW5462038340,20,10,<,10,,330,0,,20,10,<,,,,
,The Towans (Hayle),SW5627039450,20,10,<,10,,155,0,,20,10,<,,,,
,The Towans (Godrevy),SW5818041950,20,10,<,10,,1036,0,,20,10,<,,,,
,Portreath,SW6535045330,20,10,<,10,,55,0,,20,10,<,,,,
,Porthtowan,SW6912748092,20,10,<,10,,145,0,,20,10,<,,,,
,Chapel Porth,SW6972949503,20,10,<,10,,210,0,,20,10,<,,,,
,Trevaunance Cove,SW7222051620,20,10,<,10,,36,0,,20,10,<,,,,
,Perranporth Village End,SW7564054700,20,10,<,10,,64,0,,20,10,<,,,,
,Perranporth Penhale Sands,SW7595055800,20,10,<,10,,36,0,,20,10,<,,,,
,Holywell Bay,SW7652059400,20,10,<,10,,55,0,,20,10,<,,,,
,Crantock,SW7846060980,20,10,<,10,,173,0,,20,10,<,,,,
,Fistral,SW7998062130,20,10,<,10,,36,0,,20,10,<,,,,
